county,state,estimate_2010,estimate_2011,estimate_2012,estimate_2013,estimate_2014,estimate_2015
McIntosh County,Georgia,14294,14225,13834,14000,14007,13969
Macon County,Georgia,14655,14482,14298,13994,13818,13632
Madison County,Georgia,28146,28109,28046,28176,28388,28441
Marion County,Georgia,8744,8742,8734,8685,8772,8761
Meriwether County,Georgia,21836,21599,21312,21180,21203,21190
Miller County,Georgia,6144,6059,5964,5882,5923,5854
Mitchell County,Georgia,23495,23429,23101,23026,22778,22574
Monroe County,Georgia,26470,26677,26740,26999,27056,27103
Montgomery County,Georgia,9093,9041,8910,8961,8975,8951
Morgan County,Georgia,17901,17911,17830,17734,17981,18046
Murray County,Georgia,39541,39425,39380,39258,39375,39565
Muscogee County,Georgia,191124,195357,200195,204207,201087,200579
Newton County,Georgia,100171,100500,101100,102312,103839,105473
Oconee County,Georgia,32929,33262,33536,34088,35147,35965
Oglethorpe County,Georgia,14907,14785,14598,14507,14680,14871
Paulding County,Georgia,142768,143787,144981,147071,148921,152238
Peach County,Georgia,27750,27550,27473,26861,26828,26720
Pickens County,Georgia,29461,29480,29333,29534,30046,30309
Pierce County,Georgia,18810,18732,18850,18982,19001,19103
Pike County,Georgia,17906,17788,17787,17786,17760,17941
Polk County,Georgia,41536,41280,41113,41117,41042,41524
Pulaski County,Georgia,11924,11857,11688,11529,11478,11396
Putnam County,Georgia,21198,21255,21161,21295,21173,21353
Quitman County,Georgia,2507,2461,2402,2367,2303,2302
Rabun County,Georgia,16268,16283,16308,16226,16230,16281
Randolph County,Georgia,7671,7581,7309,7191,7300,7193
Richmond County,Georgia,200933,200509,201850,201156,201149,201793
Rockdale County,Georgia,85407,85575,85636,86759,87681,88856
Schley County,Georgia,5013,5018,4984,5057,5143,5168
Screven County,Georgia,14504,14390,14202,14204,14074,14162
Seminole County,Georgia,8725,8769,8902,8875,8651,8647
Spalding County,Georgia,64077,64086,63730,63626,63872,64051
Stephens County,Georgia,26149,25741,25721,25597,25455,25586
Stewart County,Georgia,6101,6071,6106,5507,5803,5851
Sumter County,Georgia,32719,32106,31650,31379,31233,30779
Talbot County,Georgia,6835,6761,6538,6437,6377,6337
Taliaferro County,Georgia,1699,1706,1672,1689,1693,1639
Tattnall County,Georgia,25496,25286,25305,25495,25195,25229
Taylor County,Georgia,8771,8466,8372,8416,8421,8330
Telfair County,Georgia,16489,16295,16342,16573,16470,16400
Terrell County,Georgia,9517,9384,9233,9217,9120,9113
Thomas County,Georgia,44755,44614,44561,44893,44990,45063
Tift County,Georgia,40242,41371,40967,40216,40619,40764
Toombs County,Georgia,27303,27206,27172,27236,27193,27241
Towns County,Georgia,10540,10486,10498,10748,11087,11182
Treutlen County,Georgia,6888,6821,6753,6645,6808,6785
Troup County,Georgia,67087,67710,68417,68957,69489,69763
Turner County,Georgia,8947,8854,8368,8124,8128,8214
Twiggs County,Georgia,8956,8811,8508,8484,8354,8390
Union County,Georgia,21320,21360,21468,21576,21952,22267
Upson County,Georgia,27064,26934,26598,26498,26240,26368
Walker County,Georgia,68888,68617,68187,68295,68261,68066
Walton County,Georgia,83974,84420,84817,85920,87449,88399
Ware County,Georgia,36371,36188,35820,35722,35515,35370
Warren County,Georgia,5795,5705,5568,5556,5515,5460
Washington County,Georgia,21110,21013,20850,20640,20608,20816
Wayne County,Georgia,30092,30337,30356,30053,29950,29534
Webster County,Georgia,2777,2799,2794,2708,2650,2648
Wheeler County,Georgia,7756,8055,7905,7933,7984,7903
White County,Georgia,27208,27383,27559,27754,27942,28319
Whitfield County,Georgia,102776,103106,103236,103126,103596,104216
Wilcox County,Georgia,9275,9169,9029,8966,8838,8857
Wilkes County,Georgia,10484,10192,10046,9925,9923,9867
Wilkinson County,Georgia,9519,9460,9548,9423,9344,9155
Worth County,Georgia,21725,21611,21464,21052,20952,20699
Hawaii County,Hawaii,185326,186961,188780,191224,194016,196428
Honolulu County,Hawaii,956377,966581,976711,986802,992082,998714
Kalawao County,Hawaii,90,90,89,89,89,89
Kauai County,Hawaii,67209,67794,68551,69703,70672,71735
Maui County,Hawaii,154978,156801,158510,160947,163398,164637
Ada County,Idaho,393464,401088,408921,416439,426847,434211
Adams County,Idaho,3953,3979,3905,3825,3848,3843
Bannock County,Idaho,83026,83584,83792,83430,83471,83744
Bear Lake County,Idaho,5977,5963,5900,5955,5955,5922
Benewah County,Idaho,9285,9165,9121,9024,9080,9052
Bingham County,Idaho,45767,45912,45523,45404,45204,44990
Blaine County,Idaho,21301,21092,21123,21296,21443,21592
Boise County,Idaho,7008,7003,6801,6739,6826,7058
Bonner County,Idaho,40917,40824,40438,40675,41533,41859
Bonneville County,Idaho,104696,105831,106922,107573,108526,110089
Boundary County,Idaho,11012,10821,10830,10860,10977,11318
Butte County,Idaho,2909,2805,2726,2623,2612,2501
Camas County,Idaho,1111,1103,1077,1043,1038,1066
Canyon County,Idaho,189400,191439,193863,198875,202951,207478
Caribou County,Idaho,6976,6853,6779,6822,6815,6770
Cassia County,Idaho,23088,23164,23289,23348,23539,23506
Clark County,Idaho,979,951,873,863,874,880
Clearwater County,Idaho,8632,8626,8583,8585,8509,8496
Custer County,Idaho,4360,4356,4345,4238,4145,4087
Elmore County,Idaho,27118,26217,26272,26248,26262,25876
Franklin County,Idaho,12793,12822,12827,12852,12994,13074
Fremont County,Idaho,13241,13132,12991,12913,12870,12819
Gem County,Idaho,16676,16716,16665,16646,16774,16852
Gooding County,Idaho,15478,15375,15245,15144,15115,15284
Idaho County,Idaho,16300,16466,16405,16211,16206,16272
Jefferson County,Idaho,26219,26320,26653,26843,26988,27157
Jerome County,Idaho,22461,22531,22526,22603,22789,22814
Kootenai County,Idaho,138910,141056,142292,144289,147245,150346
Latah County,Idaho,37278,37887,38179,38267,38585,38778
Lemhi County,Idaho,7961,7992,7773,7726,7725,7735
Lewis County,Idaho,3817,3793,3838,3817,3822,3789
Lincoln County,Idaho,5216,5136,5256,5308,5304,5297
Madison County,Idaho,37592,37900,37712,37628,38068,38273
Minidoka County,Idaho,20082,20198,20119,20315,20304,20461
Nez Perce County,Idaho,39335,39438,39566,39912,39932,40048
Oneida County,Idaho,4294,4231,4229,4280,4205,4281
Owyhee County,Idaho,11472,11401,11403,11398,11309,11310
Payette County,Idaho,22637,22549,22673,22564,22820,22896
Power County,Idaho,7851,7782,7810,7737,7678,7648
Shoshone County,Idaho,12720,12658,12700,12676,12390,12432
Teton County,Idaho,10157,10182,10089,10285,10307,10564
Twin Falls County,Idaho,77541,78050,78507,79979,81109,82375
Valley County,Idaho,9781,9606,9511,9576,9804,10103
Washington County,Idaho,10195,10137,10045,9951,10008,9984
Adams County,Illinois,67154,67213,67164,66996,67018,67013
Alexander County,Illinois,8214,8017,7712,7211,7098,6780
Bond County,Illinois,17772,17673,17506,17310,17124,16950
Boone County,Illinois,54123,54195,53838,53844,53793,53585
Brown County,Illinois,6913,6873,6891,6859,6843,6829
Bureau County,Illinois,34921,34651,34340,34091,33906,33587
Calhoun County,Illinois,5082,5070,5025,5040,4963,4899
Carroll County,Illinois,15382,15221,15068,14936,14790,14616
Cass County,Illinois,13634,13633,13410,13297,13082,12847
Champaign County,Illinois,201489,202681,204080,205785,207424,208861
Christian County,Illinois,34785,34728,34526,34189,33917,33642
Clark County,Illinois,16300,16224,16300,16154,16138,15979
Clay County,Illinois,13813,13731,13735,13553,13463,13428
Clinton County,Illinois,37826,38132,38056,37871,37802,37786
Coles County,Illinois,53895,53610,53330,53027,52697,52521
Cook County,Illinois,5199303,5215623,5232690,5246731,5248704,5238216
Crawford County,Illinois,19811,19784,19627,19504,19375,19414
Cumberland County,Illinois,11047,11073,10942,10898,10906,10898
DeKalb County,Illinois,105177,104364,104261,104055,104693,104352
De Witt County,Illinois,16586,16555,16503,16389,16246,16247
Douglas County,Illinois,19957,19821,19820,19804,19864,19823
DuPage County,Illinois,918145,924462,927997,932096,933769,933736
Edgar County,Illinois,18510,18401,18163,17933,17800,17664
Edwards County,Illinois,6728,6685,6731,6675,6621,6534
Effingham County,Illinois,34224,34286,34362,34319,34321,34371
Fayette County,Illinois,22129,22373,22123,22147,21993,22043
Ford County,Illinois,14078,13947,13982,13800,13708,13736
Franklin County,Illinois,40029,40012,39876,39581,39514,39485
Fulton County,Illinois,37053,36945,36621,36383,35965,35699
Gallatin County,Illinois,5586,5516,5419,5406,5318,5265
Greene County,Illinois,13881,13849,13623,13500,13296,13241
Grundy County,Illinois,50120,50068,50170,50172,50433,50541
Hamilton County,Illinois,8453,8419,8363,8328,8298,8200
Hancock County,Illinois,19085,19031,18891,18601,18626,18543
Hardin County,Illinois,4305,4282,4259,4246,4219,4135
Henderson County,Illinois,7332,7216,7051,6956,6994,6995
Henry County,Illinois,50445,50305,50142,49804,49677,49489
Iroquois County,Illinois,29675,29519,29294,28977,28802,28672
Jackson County,Illinois,60381,60293,58966,59661,59388,59362
Jasper County,Illinois,9707,9740,9643,9564,9619,9607
Jefferson County,Illinois,38763,38764,38668,38659,38446,38353
Jersey County,Illinois,22966,22862,22724,22614,22552,22372
Jo Daviess County,Illinois,22649,22660,22522,22358,22357,22086
Johnson County,Illinois,12610,12853,12908,12838,12783,12762
Kane County,Illinois,516069,519940,521840,524302,527501,530847
Kankakee County,Illinois,113450,113527,112988,112239,111473,110879
Kendall County,Illinois,115303,116809,118360,119838,121816,123355
Knox County,Illinois,52930,52691,52295,52154,51977,51441
Lake County,Illinois,704294,701094,701494,703841,704149,703910
LaSalle County,Illinois,113835,113682,113136,112743,112001,111333
Lawrence County,Illinois,16927,16828,16674,16736,16596,16491
Lee County,Illinois,35930,35531,35113,35019,34886,34584
Livingston County,Illinois,38871,38839,38522,37412,37000,36671
Logan County,Illinois,30274,30307,30381,29876,29720,29494
McDonough County,Illinois,32607,32478,32500,32142,31591,31333
McHenry County,Illinois,309119,307815,307610,307043,306975,307343
McLean County,Illinois,169858,170813,172599,174882,174110,173166
Macon County,Illinois,110780,110630,110103,109550,108381,107303
Macoupin County,Illinois,47791,47797,47180,46846,46354,46045
Madison County,Illinois,269384,268583,268092,267263,266635,266209
Marion County,Illinois,39447,39004,38913,38588,38483,38339
Marshall County,Illinois,12626,12492,12276,12116,11998,11982
Mason County,Illinois,14652,14483,14343,14190,13914,13701
Massac County,Illinois,15408,15321,15150,14969,14876,14766
Menard County,Illinois,12707,12723,12723,12599,12566,12444
Mercer County,Illinois,16415,16353,16199,16146,15978,15858
Monroe County,Illinois,33011,33235,33330,33558,33695,33879
Montgomery County,Illinois,30090,29836,29608,29339,29058,28898
Morgan County,Illinois,35519,35513,35358,35022,34924,34828
Moultrie County,Illinois,14855,14919,14974,14920,14892,14931
Ogle County,Illinois,53440,53149,52820,52335,52023,51659
Peoria County,Illinois,186218,186632,187115,188406,187185,186221
Perry County,Illinois,22328,22289,21863,21752,21602,21543
Piatt County,Illinois,16723,16685,16521,16437,16447,16387
Pike County,Illinois,16386,16362,16267,16115,15989,15989
Pope County,Illinois,4455,4490,4330,4338,4269,4226
Pulaski County,Illinois,6134,6002,5967,5893,5816,5678
Putnam County,Illinois,5999,5973,5881,5817,5795,5644
Randolph County,Illinois,33458,33337,32988,33122,33048,32852
Richland County,Illinois,16216,16231,16181,16092,16103,16029
Rock Island County,Illinois,147632,147431,147713,147626,146903,146133
St. Clair County,Illinois,270364,270024,268655,266863,265552,264052
Saline County,Illinois,24931,24953,24969,24868,24579,24548
Sangamon County,Illinois,197797,198933,199296,199034,199103,198712
Schuyler County,Illinois,7542,7469,7456,7362,7238,7032
Scott County,Illinois,5335,5233,5292,5208,5166,5092
Shelby County,Illinois,22359,22302,22245,22186,22069,21775
Stark County,Illinois,5970,5841,5939,5891,5835,5788
Stephenson County,Illinois,47656,47365,46939,46719,46352,45749
Tazewell County,Illinois,135478,135787,136126,136242,135532,134800
Union County,Illinois,17746,17690,17627,17559,17471,17408
Vermilion County,Illinois,81613,81386,80804,80530,79837,79282
Wabash County,Illinois,11905,11820,11723,11626,11549,11542
Warren County,Illinois,17714,17844,17729,17606,17801,17527
Washington County,Illinois,14701,14588,14609,14426,14394,14270
Wayne County,Illinois,16746,16623,16619,16597,16515,16423
White County,Illinois,14611,14592,14557,14497,14346,14327
Whiteside County,Illinois,58496,58226,57785,57452,57084,57079
Will County,Illinois,678910,680667,682369,684054,685621,687263
Williamson County,Illinois,66440,66750,66776,67351,67263,67466
Winnebago County,Illinois,295101,293669,291971,290902,288574,287078
Woodford County,Illinois,38655,38936,38952,39179,39234,39227
Adams County,Indiana,34455,34374,34429,34671,34756,34980
Allen County,Indiana,355890,358782,360859,363473,365701,368450
Bartholomew County,Indiana,76846,77630,78924,79505,80220,81162
Benton County,Indiana,8856,8856,8807,8717,8697,8681
Blackford County,Indiana,12750,12668,12541,12473,12401,12298
Boone County,Indiana,56845,57884,59062,60458,61805,63344
Brown County,Indiana,15200,15064,15054,15029,14932,14977
Carroll County,Indiana,20183,20088,20122,20101,19904,19856
Cass County,Indiana,38974,38879,38697,38491,38336,37979
Clark County,Indiana,110557,111553,111908,112771,114301,115371
Clay County,Indiana,26853,26881,26827,26735,26483,26503
Clinton County,Indiana,33203,33035,32944,32913,32672,32609
Crawford County,Indiana,10716,10608,10649,10586,10627,10483
Daviess County,Indiana,31744,31951,32150,32303,32745,32906
Dearborn County,Indiana,50099,50009,49754,49755,49423,49455
Decatur County,Indiana,25791,25886,26058,26224,26511,26521
DeKalb County,Indiana,42293,42457,42303,42387,42508,42589
Delaware County,Indiana,117692,117824,117364,117435,117201,116852
Dubois County,Indiana,41906,42197,42098,42335,42364,42461
Elkhart County,Indiana,197471,198509,199229,200476,201739,203474
Fayette County,Indiana,24333,24157,23957,23853,23466,23434
Floyd County,Indiana,74708,75037,75355,76098,76233,76778
Fountain County,Indiana,17271,17139,17108,16878,16723,16591
Franklin County,Indiana,23062,23000,22984,22920,22898,22872
Fulton County,Indiana,20818,20750,20653,20435,20483,20315
Gibson County,Indiana,33554,33567,33577,33576,33845,33775
Grant County,Indiana,69935,69609,69228,69031,68631,67979
Greene County,Indiana,33166,33090,33012,32798,32733,32441
Hamilton County,Indiana,276501,283340,289761,297097,303278,309697
Hancock County,Indiana,70223,70396,70669,71090,71963,72520
Harrison County,Indiana,39352,39215,39068,39051,39238,39578
Hendricks County,Indiana,145863,148607,150707,153585,156083,158192
Henry County,Indiana,49488,49360,49262,49051,49072,48985
Howard County,Indiana,82731,82851,82900,82825,82693,82556
Huntington County,Indiana,37116,37187,36993,36818,36686,36630
Jackson County,Indiana,42578,42935,43032,43514,43803,44069
Jasper County,Indiana,33514,33415,33478,33412,33464,33470
Jay County,Indiana,21172,21370,21363,21274,21147,21121
Jefferson County,Indiana,32423,32302,32518,32501,32529,32416
Jennings County,Indiana,28475,28204,28189,28281,27996,27897
Johnson County,Indiana,140281,141766,143579,145759,147489,149633
Knox County,Indiana,38389,38467,38046,38023,37845,37927
Kosciusko County,Indiana,77340,77363,77610,77876,78445,78620
LaGrange County,Indiana,37156,37480,37618,38049,38462,38809
Lake County,Indiana,495987,494788,493192,491560,490574,487865
LaPorte County,Indiana,111454,111223,111223,111376,111695,110884
Lawrence County,Indiana,46124,46079,46036,45845,45615,45495
Madison County,Indiana,131637,131018,130259,130401,129999,129723
Marion County,Indiana,904668,910861,918748,928515,934531,939020
Marshall County,Indiana,47009,46960,46992,46986,47013,46857
Martin County,Indiana,10368,10332,10318,10223,10209,10226
